TICKET_IDENTIFIER|SUPPORT_CATEGORY|AGENT_NAME|DATE_OF_CALL|CALL_STATUS|CALL_TYPE|TYPE_OF_CUSTOMER|DURATION|WORK_TIME|TICKET_STATUS|RESOLVED_IN_FIRST_CONTACT|RESOLUTION_CATEGORY|RATING
1|TECHNICAL SUPPORT|TGARCIA|06032023110958|TRANSFERRED|CALL|SENIOR CITIZEN|160|404|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|GOOD
2|ACCOUNT MANAGEMENT|TGARCIA|03312022110958|TRANSFERRED|CALL|FAMILY PLAN MANAGER|345|271|RESOLVED|0|SELF-HELP OPTION|BAD
3|SUPPORT OUTAGES|EJONES|08262022110958|TRANSFERRED|CHAT|FREQUENT TRAVELER|141|518|PENDING RESOLUTION|1|SELF-HELP OPTION|GOOD
4|MOBILE & WIRELESS SERVICES|ZANDERSON|03272022110958|COMPLETED|CHAT|LONG-TERM CUSTOMER|142|488|PENDING RESOLUTION|0|SELF-HELP OPTION|WORST
3|BUSINESS SERVICES|ZANDERSON|02282023110958|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|230|33|RESOLVED|0|SUPPORT TEAM INTERVENTION|GOOD
5|ACCOUNT MANAGEMENT|XGONZALEZ|04262023110958|DROPPED|CHAT|TECH-SAVVY USER|368|212|PENDING RESOLUTION|0|SELF-HELP OPTION|BAD
6|NEW CUSTOMER ONBOARDING|TGARCIA|11262023110958|DROPPED|CHAT|FREQUENT TRAVELER|547|495|RESOLVED|0|SELF-HELP OPTION|GOOD
7|SECURITY & PRIVACY|WLOPEZ|12202023110958|COMPLETED|CHAT|TECH-SAVVY USER|205|470|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|GOOD
8|HOME SERVICES|TGARCIA|02292024110958|DROPPED|CALL|FREQUENT TRAVELER|540|533|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|BAD
9|ACCOUNT MANAGEMENT|ZANDERSON|05092024110958|TRANSFERRED|CALL|NEW CUSTOMER|38|417|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|BAD
10|SUPPORT OUTAGES|YWILSON|01212023110958|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|282|70|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|BEST
11|NEW CUSTOMER ONBOARDING|WLOPEZ|11242023110958|COMPLETED|CHAT|DEVICE ENTHUSIAST|477|190|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|WORST
12|MOBILE & WIRELESS SERVICES|STHOMPSON|01082024110958|DROPPED|CALL|FAMILY PLAN MANAGER|385|391|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|BAD
13|TECHNICAL SUPPORT|WLOPEZ|11042023110958|DROPPED|CALL|HEAVY DATA USER|218|171|RESOLVED|1|SELF-HELP OPTION|WORST
14|HOME SERVICES|ZANDERSON|08172023110958|TRANSFERRED|CHAT|TECH-SAVVY USER|405|244|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|WORST
15|MOBILE & WIRELESS SERVICES|ZANDERSON|04152022110958|DROPPED|CHAT|LONG-TERM CUSTOMER|496|186|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|GOOD
16|MOBILE & WIRELESS SERVICES|EJONES|01072024110958|COMPLETED|CHAT|NEW CUSTOMER|290|541|PENDING RESOLUTION|0|SELF-HELP OPTION|BAD
17|NEW CUSTOMER ONBOARDING|TGARCIA|12252022110958|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|588|325|WORK IN PROGRESS|1|SELF-HELP OPTION|NEUTRAL
18|LOYALTY & RETENTIONS|ZANDERSON|11082022110958|DROPPED|CALL|FAMILY PLAN MANAGER|275|505|WORK IN PROGRESS|0|SELF-HELP OPTION|WORST
19|NEW CUSTOMER ONBOARDING|YWILSON|10092023110958|TRANSFERRED|CHAT|BUSINESS OWNER|412|444|PENDING RESOLUTION|1|SELF-HELP OPTION|WORST
20|ACCOUNT MANAGEMENT|YWILSON|05202022110958|TRANSFERRED|CHAT|NEW CUSTOMER|198|150|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|GOOD
21|BUSINESS SERVICES|TGARCIA|09102023110958|TRANSFERRED|CALL|TECH-SAVVY USER|57|506|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|WORST
22|HOME SERVICES|WLOPEZ|07202022110958|TRANSFERRED|CALL|BUDGET-CONSCIOUS CUSTOMER|547|167|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|WORST
23|PROMOTIONS & DISCOUNTS|WLOPEZ|06212022110958|TRANSFERRED|CHAT|BUSINESS OWNER|150|147|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|BAD
23|LOYALTY & RETENTIONS|ZANDERSON|02182022110958|TRANSFERRED|CHAT|FREQUENT TRAVELER|36|548|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|BAD
24|TECHNICAL SUPPORT|ATHOMAS|11212023110958|COMPLETED|CHAT|HEAVY DATA USER|62|124|PENDING RESOLUTION|0|SELF-HELP OPTION|WORST
25|HOME SERVICES|WLOPEZ|05242024110958|TRANSFERRED|CALL|DEVICE ENTHUSIAST|378|437|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|WORST
26|ACCOUNT MANAGEMENT|YWILSON|09142022110958|TRANSFERRED|CALL|LONG-TERM CUSTOMER|91|476|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|
18|ACCOUNT MANAGEMENT|YWILSON|03082023110958|COMPLETED|CHAT|FREQUENT TRAVELER|370|487|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|BAD
27|SUPPORT OUTAGES|EJONES|02042022110958|DROPPED|CHAT|HEAVY DATA USER|162|429|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|BEST
28|MOBILE & WIRELESS SERVICES|XGONZALEZ|12212021110958|DROPPED|CHAT|BUDGET-CONSCIOUS CUSTOMER|501|37|RESOLVED|0|SUPPORT TEAM INTERVENTION|BAD
29|MOBILE & WIRELESS SERVICES|ATHOMAS|05302023110958|DROPPED|CALL|LONG-TERM CUSTOMER|183|184|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
30|TECHNICAL SUPPORT|EJONES|01212022110958|COMPLETED|CHAT|HEAVY DATA USER|467|253|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|GOOD
31|HOME SERVICES|ATHOMAS|06162024110958|COMPLETED|CALL|TECH-SAVVY USER|101|565|RESOLVED|0|SELF-HELP OPTION|GOOD
32|ACCOUNT MANAGEMENT|STHOMPSON|07052022110958|COMPLETED|CALL|BUSINESS OWNER|515|167|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BEST
33|NEW CUSTOMER ONBOARDING|TGARCIA|01212022110958|TRANSFERRED|CHAT|SENIOR CITIZEN|378|505|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|BEST
34|TECHNICAL SUPPORT|TGARCIA|07292024110958|TRANSFERRED|CALL|TECH-SAVVY USER|225|398|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|NEUTRAL
35|BUSINESS SERVICES|VHERNANDEZ|11112023110958|COMPLETED|CHAT|DEVICE ENTHUSIAST|376|402|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|WORST
36|HOME SERVICES|VHERNANDEZ|10252023110958|TRANSFERRED|CALL|FAMILY PLAN MANAGER|143|227||0|SELF-HELP OPTION|BEST
37|SUPPORT OUTAGES|STHOMPSON|04172022110958|TRANSFERRED|CALL|FREQUENT TRAVELER|474|339|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|BAD
38|LOYALTY & RETENTIONS|VHERNANDEZ|02012024110958|DROPPED|CHAT|NEW CUSTOMER|247|537|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|BEST
7|SUPPORT OUTAGES|XGONZALEZ|04082024110958|COMPLETED|CHAT|FAMILY PLAN MANAGER|179|81|RESOLVED|1|SELF-HELP OPTION|WORST
39|PROMOTIONS & DISCOUNTS|EJONES|09032022110958|COMPLETED|CALL|HEAVY DATA USER|323|390|PENDING RESOLUTION|1|SELF-HELP OPTION|WORST
40|PROMOTIONS & DISCOUNTS|ZANDERSON|01212024110958|DROPPED|CHAT|FREQUENT TRAVELER|317|50|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|BEST
41|LOYALTY & RETENTIONS|VHERNANDEZ|11022022110958|TRANSFERRED|CALL|FREQUENT TRAVELER|282|262|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|WORST
42|PROMOTIONS & DISCOUNTS|XGONZALEZ|02082024110958|COMPLETED|CALL|LONG-TERM CUSTOMER|409|87|RESOLVED|1|SUPPORT TEAM INTERVENTION|WORST
43|LOYALTY & RETENTIONS|ATHOMAS|02092023110958|DROPPED|CHAT|BUDGET-CONSCIOUS CUSTOMER|236|39|RESOLVED|0|SELF-HELP OPTION|GOOD
44|MOBILE & WIRELESS SERVICES|YWILSON|10172022110958|DROPPED|CALL|LONG-TERM CUSTOMER|520|521|RESOLVED|1|SUPPORT TEAM INTERVENTION|BEST
45|MOBILE & WIRELESS SERVICES|XGONZALEZ|07262022110958|TRANSFERRED|CHAT|BUSINESS OWNER|43|202|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|BAD
46|NEW CUSTOMER ONBOARDING|XGONZALEZ|07082023110958|DROPPED|CALL|BUSINESS OWNER|476|363|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|WORST
47|HOME SERVICES|ZANDERSON|10292022110958|DROPPED|CALL|SENIOR CITIZEN|20|240|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|WORST
48|SUPPORT OUTAGES|YWILSON|07012024110958|COMPLETED|CHAT|NEW CUSTOMER|473|153|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
49|BUSINESS SERVICES|XGONZALEZ|07152023110958|DROPPED|CALL|TECH-SAVVY USER|492|503|RESOLVED|1|SELF-HELP OPTION|GOOD
50|BUSINESS SERVICES|VHERNANDEZ|07062022110958|DROPPED|CHAT|DEVICE ENTHUSIAST|597|74|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|BEST
51|PROMOTIONS & DISCOUNTS|TGARCIA|11082023110958|TRANSFERRED|CALL|NEW CUSTOMER|597|319|RESOLVED|0|SUPPORT TEAM INTERVENTION|WORST
14|PROMOTIONS & DISCOUNTS|VHERNANDEZ|05162024110958|DROPPED|CALL|BUSINESS OWNER|278|460|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|GOOD
52|TECHNICAL SUPPORT|UMARTINEZ|07092024110958|DROPPED|CALL|HEAVY DATA USER|550|363|RESOLVED|1|SUPPORT TEAM INTERVENTION|BAD
39|LOYALTY & RETENTIONS|WLOPEZ|11052023110958|COMPLETED|CALL|DEVICE ENTHUSIAST|422|131|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|WORST
53|SUPPORT OUTAGES|ZANDERSON|04072023110958|DROPPED|CALL|FREQUENT TRAVELER|310|190|PENDING RESOLUTION|0|SELF-HELP OPTION|NEUTRAL
54|PROMOTIONS & DISCOUNTS|ZANDERSON|08052022110958|TRANSFERRED|CALL|LONG-TERM CUSTOMER|476|243|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|NEUTRAL
11|ACCOUNT MANAGEMENT|VHERNANDEZ|11292022110958|COMPLETED|CHAT|HEAVY DATA USER|89|307|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|GOOD
55|NEW CUSTOMER ONBOARDING|EJONES|03162023110958|COMPLETED|CALL|LONG-TERM CUSTOMER|464|254|RESOLVED|0|SUPPORT TEAM INTERVENTION|WORST
14|BUSINESS SERVICES|STHOMPSON|07222023110958|TRANSFERRED|CHAT|FAMILY PLAN MANAGER|281|94|RESOLVED|1|SUPPORT TEAM INTERVENTION|BEST
56|BUSINESS SERVICES|EJONES|07042024110958|DROPPED|CALL|BUDGET-CONSCIOUS CUSTOMER|598|178|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|BAD
57|TECHNICAL SUPPORT|VHERNANDEZ|06052023110958|COMPLETED|CHAT|HEAVY DATA USER|113|491|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|BEST
58|SECURITY & PRIVACY|YWILSON|01312022110958|DROPPED|CALL|BUDGET-CONSCIOUS CUSTOMER|38|215||0|SELF-HELP OPTION|NEUTRAL
59|LOYALTY & RETENTIONS|YWILSON|04292023110958|DROPPED|CALL|LONG-TERM CUSTOMER|503|391|RESOLVED|1|SUPPORT TEAM INTERVENTION|BAD
1|NEW CUSTOMER ONBOARDING|YWILSON|07012024110958|DROPPED|CALL|TECH-SAVVY USER|389|281|WORK IN PROGRESS|1|SELF-HELP OPTION|BAD
60|PROMOTIONS & DISCOUNTS|UMARTINEZ|01112024110958|DROPPED|CALL|NEW CUSTOMER|422|117|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|BAD
